displayable_path,label,split,tokenized_label,num_unique_tokens,depth_bracket,length_token,parentheses_depth,valid_tokens,matched_brackets,CoMER_pred
.\IMG\train\CROHME2013_train\form_001_E1.png,\frac{3+z^2}{8},train,\frac { 3 + z ^ 2 } { 8 },9,1.0,11,0.0,True,True,
.\IMG\train\CROHME2013_train\form_001_E2.png,y = \sqrt{y_i y^i},train,y = \sqrt { y _ i y ^ i },8,1.0,11,0.0,True,True,
.\IMG\train\CROHME2013_train\form_001_E3.png,cyc,train,c y c,2,0.0,3,0.0,True,True,
.\IMG\train\CROHME2013_train\form_001_E4.png,9.18 \times 10^{-5},train,9 . 1 8 \times 1 0 ^ { - 5 },11,1.0,12,0.0,True,True,
.\IMG\train\CROHME2013_train\form_001_E5.png,e^{k(u)}= \frac{e^{2 u}-b^2}{e^{2 u}+b^2},train,e ^ { k ( u ) } = \frac { e ^ { 2 u } - b ^ 2 } { e ^ { 2 u } + b ^ 2 },14,2.0,34,1.0,True,True,
.\IMG\train\CROHME2013_train\form_001_E6.png,-\frac{5}{4},train,- \frac { 5 } { 4 },6,1.0,8,0.0,True,True,
.\IMG\train\CROHME2013_train\form_001_E7.png,\tan(x) \lt \alpha,train,\tan ( x ) \lt \alpha,6,0.0,6,1.0,True,True,
.\IMG\train\CROHME2013_train\form_001_E8.png,x^6 = + \infty,train,x ^ 6 = + \infty,6,0.0,6,0.0,True,True,
.\IMG\train\CROHME2013_train\form_002_E10.png,4+x,train,4 + x,3,0.0,3,0.0,True,True,
.\IMG\train\CROHME2013_train\form_002_E11.png,\sum_{a=1}^{F(r)}C_{a}=r^{8},train,\sum _ { a = 1 } ^ { F ( r ) } C _ { a } = r ^ { 8 },14,1.0,25,1.0,True,True,
.\IMG\train\CROHME2013_train\form_002_E12.png,\int c_i,train,\int c _ i,4,0.0,4,0.0,True,True,
.\IMG\train\CROHME2013_train\form_002_E13.png,g={\frac{1}{2}}(n-1)(n-2),train,g = { \frac { 1 } { 2 } } ( n - 1 ) ( n - 2 ),11,2.0,21,1.0,True,True,
.\IMG\train\CROHME2013_train\form_002_E14.png,\sin^2{y},train,\sin ^ 2 { y },6,1.0,6,0.0,True,True,
.\IMG\train\CROHME2013_train\form_002_E15.png,b\leq a+1,train,b \leq a + 1,5,0.0,5,0.0,True,True,
.\IMG\train\CROHME2013_train\form_002_E16.png,\frac{32}{3}h(2h+1)(4h+1)(4h+3),train,\frac { 3 2 } { 3 } h ( 2 h + 1 ) ( 4 h + 1 ) ( 4 h + 3 ),11,1.0,27,1.0,True,True,
.\IMG\train\CROHME2013_train\form_002_E9.png,a=\sqrt{\frac{6\sqrt{3}}{5}},train,a = \sqrt { \frac { 6 \sqrt { 3 } } { 5 } },9,3.0,16,0.0,True,True,
